producto,unidad,mayorista,minimo,maximo,moda,promedio,fecha,año,mes,año_mes,producto_limpio,producto_estandar
Tomate primera Caja plástica (18,kg),kg),10000.0,11000.0,10000.0,10222.22,2025-12-31,2025,12,2025-12,Tomate Primera,Tomate
Tomate segunda Caja plástica (18,kg),kg),9000.0,10000.0,9000.0,9125.0,2025-12-31,2025,12,2025-12,Tomate Segunda,Tomate
Tomate tercera Caja plástica (18,kg),kg),6000.0,7000.0,6000.0,6125.0,2025-12-31,2025,12,2025-12,Tomate Tercera,Tomate
Vainica,Kilo,Kilo,700.0,800.0,700.0,733.33,2025-12-31,2025,12,2025-12,Vainica,Vainica
Yuca parafinada,Kilo,Kilo,700.0,800.0,800.0,766.67,2025-12-31,2025,12,2025-12,Yuca Parafinada,Yuca Parafinada
Zanahoria primera Malla (45,kg),kg),12000.0,15000.0,15000.0,13515.15,2025-12-31,2025,12,2025-12,Zanahoria Primera,Zanahoria
Zuquini,Unidad,Unidad,250.0,350.0,300.0,290.63,2025-12-31,2025,12,2025-12,Zuquini,Zuquini
Apio verde (mata),Mata,Mata,1200.0,1500.0,1500.0,1400.0,2025-12-30,2025,12,2025-12,Apio Verde,Apio Verde
Ayote sazón,Kilo,Kilo,300.0,350.0,350.0,328.13,2025-12-30,2025,12,2025-12,Ayote Sazón,Ayote Sazón
Banano maduro criollo,Unidad,Unidad,30.0,35.0,30.0,31.0,2025-12-30,2025,12,2025-12,Banano Maduro Criollo,Banano Maduro Criollo
Banano maduro rechazo de exportación,Caja,Caja,2800.0,3000.0,3000.0,2960.0,2025-12-30,2025,12,2025-12,Banano Maduro Rechazo De Exportación,Banano Maduro Rechazo De Exportación
Banano verde rechazo de exportación,Caja,Caja,2800.0,3000.0,3000.0,2960.0,2025-12-30,2025,12,2025-12,Banano Verde Rechazo De Exportación,Banano Verde Rechazo De Exportación
Brócoli,Kilo,Kilo,1500.0,2000.0,2000.0,1763.64,2025-12-30,2025,12,2025-12,Brócoli,Brócoli
Camote,Kilo,Kilo,800.0,900.0,800.0,844.44,2025-12-30,2025,12,2025-12,Camote,Camote
Cebolla seca amarilla burra,Kilo,Kilo,800.0,900.0,850.0,844.23,2025-12-30,2025,12,2025-12,Cebolla Seca Amarilla Burra,Cebolla Seca Amarilla Burra
Cebolla seca amarilla suelta,Kilo,Kilo,800.0,900.0,850.0,844.23,2025-12-30,2025,12,2025-12,Cebolla Seca Amarilla Suelta,Cebolla Seca Amarilla Suelta
Cebolla seca amarilla trenza,Kilo,Kilo,800.0,900.0,850.0,844.23,2025-12-30,2025,12,2025-12,Cebolla Seca Amarilla Trenza,Cebolla Seca Amarilla Trenza
Cebolla seca morada,Kilo,Kilo,1800.0,2000.0,1800.0,1845.45,2025-12-30,2025,12,2025-12,Cebolla Seca Morada,Cebolla Seca Morada
Chayote tierno criollo,Java,Java,10000.0,12000.0,10000.0,10600.0,2025-12-30,2025,12,2025-12,Chayote Tierno Criollo,Chayote Tierno Criollo
Chayote tierno quelite,Java,Java,8000.0,10000.0,8000.0,8909.09,2025-12-30,2025,12,2025-12,Chayote Tierno Quelite,Chayote Tierno Quelite
Chile dulce jumbo Caja,plástica,plástica,27000.0,28000.0,27000.0,27428.57,2025-12-30,2025,12,2025-12,Chile Dulce Jumbo,Chile Dulce Jumbo
Chile dulce primera Caja,plástica,plástica,23000.0,25000.0,24000.0,24000.0,2025-12-30,2025,12,2025-12,Chile Dulce Primera,Chile Dulce Primera
Chile dulce segunda Caja,plástica,plástica,19000.0,21000.0,20000.0,19909.09,2025-12-30,2025,12,2025-12,Chile Dulce Segunda,Chile Dulce Segunda
Chile dulce tercera Caja,plástica,plástica,11000.0,12000.0,12000.0,11727.27,2025-12-30,2025,12,2025-12,Chile Dulce Tercera,Chile Dulce Tercera
Coliflor,Unidad,Unidad,800.0,1200.0,1000.0,933.33,2025-12-30,2025,12,2025-12,Coliflor,Coliflor
Culantro castilla Rollo de 10,rollitos,rollitos,800.0,1000.0,800.0,887.5,2025-12-30,2025,12,2025-12,Culantro Castilla De,Culantro Castilla De
Elote,Unidad,Unidad,150.0,150.0,150.0,150.0,2025-12-30,2025,12,2025-12,Elote,Elote
Guanábana injertada,Kilo,Kilo,1500.0,1800.0,1800.0,1700.0,2025-12-30,2025,12,2025-12,Guanábana Injertada,Guanábana Injertada
Jengibre sazón,Kilo,Kilo,1000.0,1200.0,1000.0,1066.67,2025-12-30,2025,12,2025-12,Jengibre Sazón,Jengibre Sazón
Lechuga Americana,Unidad,Unidad,250.0,300.0,250.0,256.25,2025-12-30,2025,12,2025-12,Lechuga Americana,Lechuga Americana
Limón mandarina,Unidad,Unidad,80.0,100.0,80.0,89.23,2025-12-30,2025,12,2025-12,Limón Mandarina,Limón Mandarina
Limón mesino,Unidad,Unidad,100.0,120.0,100.0,109.29,2025-12-30,2025,12,2025-12,Limón Mesino,Limón Mesino
Mandarina primera,Unidad,Unidad,180.0,200.0,200.0,196.67,2025-12-30,2025,12,2025-12,Mandarina Primera,Mandarina Primera
Mandarina segunda,Unidad,Unidad,150.0,150.0,150.0,150.0,2025-12-30,2025,12,2025-12,Mandarina Segunda,Mandarina Segunda
Manga grande Cavallini Caja plástica (17,kg),kg),20000.0,22000.0,20000.0,20500.0,2025-12-30,2025,12,2025-12,Manga Grande Cavallini,Manga Grande Cavallini
Manga grande Keitt Caja plástica (17,kg),kg),12000.0,16000.0,15000.0,14428.57,2025-12-30,2025,12,2025-12,Manga Grande Keitt,Manga Grande Keitt
Manga grande Tommy Caja plástica (17,kg),kg),22000.0,25000.0,24000.0,23714.29,2025-12-30,2025,12,2025-12,Manga Grande Tommy,Manga Grande Tommy
Melón Cantaloupe,Kilo,Kilo,600.0,800.0,700.0,713.33,2025-12-30,2025,12,2025-12,Melón Cantaloupe,Melón Cantaloupe
Naranja dulce,Unidad,Unidad,100.0,130.0,120.0,116.15,2025-12-30,2025,12,2025-12,Naranja Dulce,Naranja Dulce
Ñampí,Kilo,Kilo,700.0,1000.0,800.0,810.0,2025-12-30,2025,12,2025-12,Ñampí,Ñampí
Papa amarilla primera Malla (45,kg),kg),40000.0,45000.0,40000.0,40900.0,2025-12-30,2025,12,2025-12,Papa Amarilla Primera,Papa Amarilla
Papa blanca primera Malla (45,kg),kg),40000.0,45000.0,42000.0,42125.0,2025-12-30,2025,12,2025-12,Papa Blanca Primera,Papa Blanca
Papaya híbrida,Kilo,Kilo,400.0,600.0,500.0,485.29,2025-12-30,2025,12,2025-12,Papaya Híbrida,Papaya Híbrida
Pepino,Kilo,Kilo,250.0,300.0,300.0,285.71,2025-12-30,2025,12,2025-12,Pepino,Pepino
Piña - grande,Unidad,Unidad,1100.0,1300.0,1200.0,1218.18,2025-12-30,2025,12,2025-12,Piña Grande,Piña
Piña - mediana,Unidad,Unidad,800.0,1000.0,1000.0,933.33,2025-12-30,2025,12,2025-12,Piña Mediana,Piña
Piña - pequeña,Unidad,Unidad,600.0,800.0,800.0,715.38,2025-12-30,2025,12,2025-12,Piña Pequeña,Piña
Plátano maduro,Unidad,Unidad,240.0,250.0,240.0,243.33,2025-12-30,2025,12,2025-12,Plátano Maduro,Plátano Maduro
Plátano verde,Unidad,Unidad,240.0,250.0,240.0,243.33,2025-12-30,2025,12,2025-12,Plátano Verde,Plátano Verde
Remolacha,Unidad,Unidad,250.0,300.0,300.0,282.61,2025-12-30,2025,12,2025-12,Remolacha,Remolacha
Repollo morado,Kilo,Kilo,600.0,800.0,700.0,721.05,2025-12-30,2025,12,2025-12,Repollo Morado,Repollo Morado
Repollo verde,Kilo,Kilo,450.0,550.0,500.0,486.36,2025-12-30,2025,12,2025-12,Repollo Verde,Repollo Verde
Sandía de campo - grande,Kilo,Kilo,450.0,550.0,500.0,489.29,2025-12-30,2025,12,2025-12,Sandía De Campo Grande,Sandía Grande de Campo
Sandía de campo - mediana,Kilo,Kilo,300.0,400.0,400.0,355.26,2025-12-30,2025,12,2025-12,Sandía De Campo Mediana,Sandía Mediana de Campo
Tiquisque,Kilo,Kilo,1300.0,1400.0,1300.0,1342.86,2025-12-30,2025,12,2025-12,Tiquisque,Tiquisque
Tomate primera Caja plástica (18,kg),kg),9000.0,10000.0,10000.0,9700.0,2025-12-30,2025,12,2025-12,Tomate Primera,Tomate
Tomate segunda Caja plástica (18,kg),kg),8000.0,9000.0,9000.0,8600.0,2025-12-30,2025,12,2025-12,Tomate Segunda,Tomate
Tomate tercera Caja plástica (18,kg),kg),6000.0,7000.0,6000.0,6142.86,2025-12-30,2025,12,2025-12,Tomate Tercera,Tomate
Vainica,Kilo,Kilo,600.0,800.0,700.0,700.0,2025-12-30,2025,12,2025-12,Vainica,Vainica
Yuca parafinada,Kilo,Kilo,700.0,800.0,800.0,762.5,2025-12-30,2025,12,2025-12,Yuca Parafinada,Yuca Parafinada
Zanahoria primera Malla (45,kg),kg),12000.0,15000.0,13000.0,13766.67,2025-12-30,2025,12,2025-12,Zanahoria Primera,Zanahoria
Aguacate Hass de Costa Rica - Extra,Kilo,Kilo,1400.0,1600.0,1400.0,1483.33,2026-01-16,2026,1,2026-01,Aguacate Hass De Costa Rica Extra,Aguacate Hass De Costa Rica Extra
Aguacate Hass de Costa Rica - Super Extra,Kilo,Kilo,1600.0,1700.0,1600.0,1640.0,2026-01-16,2026,1,2026-01,Aguacate Hass De Costa Rica Super Extra,Aguacate Hass De Costa Rica Super Extra
Aguacate Hass de Costa Rica - Supremo,Kilo,Kilo,1800.0,1900.0,1800.0,1820.0,2026-01-16,2026,1,2026-01,Aguacate Hass De Costa Rica Supremo,Aguacate Hass De Costa Rica Supremo
Apio verde (mata),Mata,Mata,1000.0,1500.0,1200.0,1181.82,2026-01-16,2026,1,2026-01,Apio Verde,Apio Verde
Ayote sazón,Kilo,Kilo,300.0,400.0,400.0,364.29,2026-01-16,2026,1,2026-01,Ayote Sazón,Ayote Sazón
Ayote sazón mantequilla,Kilo,Kilo,600.0,800.0,700.0,711.11,2026-01-16,2026,1,2026-01,Ayote Sazón Mantequilla,Ayote Sazón Mantequilla
Ayote tierno,Unidad,Unidad,600.0,700.0,600.0,643.75,2026-01-16,2026,1,2026-01,Ayote Tierno,Ayote Tierno
Banano maduro criollo,Unidad,Unidad,25.0,35.0,30.0,30.0,2026-01-16,2026,1,2026-01,Banano Maduro Criollo,Banano Maduro Criollo
Banano rechazo de exportación (verde y maduro),Caja,Caja,3000.0,3200.0,3000.0,3050.0,2026-01-16,2026,1,2026-01,Banano Rechazo De Exportación,Banano Rechazo De Exportación
Brócoli,Kilo,Kilo,1300.0,1800.0,1500.0,1520.83,2026-01-16,2026,1,2026-01,Brócoli,Brócoli
Camote,Kilo,Kilo,700.0,800.0,800.0,770.0,2026-01-16,2026,1,2026-01,Camote,Camote
Camote Zanahoria,Kilo,Kilo,1500.0,1600.0,1600.0,1560.0,2026-01-16,2026,1,2026-01,Camote Zanahoria,Camote Zanahoria
Carambola,Kilo,Kilo,700.0,800.0,700.0,725.0,2026-01-16,2026,1,2026-01,Carambola,Carambola
Cebolla seca amarilla burra,Kilo,Kilo,700.0,800.0,700.0,741.67,2026-01-16,2026,1,2026-01,Cebolla Seca Amarilla Burra,Cebolla Seca Amarilla Burra
Cebolla seca amarilla suelta,Kilo,Kilo,650.0,750.0,700.0,697.5,2026-01-16,2026,1,2026-01,Cebolla Seca Amarilla Suelta,Cebolla Seca Amarilla Suelta
Cebolla seca amarilla suelta importada,Kilo,Kilo,800.0,900.0,800.0,833.33,2026-01-16,2026,1,2026-01,Cebolla Seca Amarilla Suelta Importada,Cebolla Seca Amarilla Suelta Importada
Cebolla seca amarilla trenza,Kilo,Kilo,650.0,750.0,700.0,697.5,2026-01-16,2026,1,2026-01,Cebolla Seca Amarilla Trenza,Cebolla Seca Amarilla Trenza
Cebolla seca morada,Kilo,Kilo,1800.0,2000.0,1800.0,1863.64,2026-01-16,2026,1,2026-01,Cebolla Seca Morada,Cebolla Seca Morada
Cebollino,Rollo,Rollo,200.0,250.0,250.0,232.35,2026-01-16,2026,1,2026-01,Cebollino,Cebollino
Chayote tierno criollo,Java,Java,10000.0,12000.0,12000.0,11250.0,2026-01-16,2026,1,2026-01,Chayote Tierno Criollo,Chayote Tierno Criollo
Chayote tierno quelite,Java,Java,10000.0,12000.0,10000.0,10888.89,2026-01-16,2026,1,2026-01,Chayote Tierno Quelite,Chayote Tierno Quelite
Chile dulce jumbo Caja,plástica,plástica,29000.0,30000.0,30000.0,29800.0,2026-01-16,2026,1,2026-01,Chile Dulce Jumbo,Chile Dulce Jumbo
Chile dulce primera Caja,plástica,plástica,26000.0,28000.0,26000.0,26800.0,2026-01-16,2026,1,2026-01,Chile Dulce Primera,Chile Dulce Primera
Chile dulce segunda Caja,plástica,plástica,25000.0,26000.0,25000.0,25444.44,2026-01-16,2026,1,2026-01,Chile Dulce Segunda,Chile Dulce Segunda
Chile dulce tercera Caja,plástica,plástica,11000.0,12000.0,12000.0,11666.67,2026-01-16,2026,1,2026-01,Chile Dulce Tercera,Chile Dulce Tercera
Coco,Unidad,Unidad,500.0,500.0,500.0,500.0,2026-01-16,2026,1,2026-01,Coco,Coco
Coliflor,Unidad,Unidad,700.0,1000.0,800.0,790.0,2026-01-16,2026,1,2026-01,Coliflor,Coliflor
Culantro castilla Rollo de 10,rollitos,rollitos,700.0,1000.0,800.0,822.22,2026-01-16,2026,1,2026-01,Culantro Castilla De,Culantro Castilla De
Elote,Unidad,Unidad,150.0,150.0,150.0,150.0,2026-01-16,2026,1,2026-01,Elote,Elote
Espinaca,Rollo,Rollo,200.0,300.0,250.0,236.96,2026-01-16,2026,1,2026-01,Espinaca,Espinaca
Fresa (1 Kg) Bandeja (1,kg),kg),2400.0,2500.0,2500.0,2483.33,2026-01-16,2026,1,2026-01,Fresa Bandeja,Fresa Bandeja
Fresa (400 g) Bandeja (400,g),g),1200.0,1300.0,1200.0,1240.0,2026-01-16,2026,1,2026-01,Fresa Bandeja,Fresa Bandeja
Guanábana injertada,Kilo,Kilo,1500.0,1800.0,1600.0,1611.11,2026-01-16,2026,1,2026-01,Guanábana Injertada,Guanábana Injertada
Guayaba China/Taiwanesa,Kilo,Kilo,800.0,1000.0,800.0,860.0,2026-01-16,2026,1,2026-01,Guayaba China Taiwanesa,Guayaba China Taiwanesa
Jengibre sazón,Kilo,Kilo,800.0,1000.0,1000.0,977.78,2026-01-16,2026,1,2026-01,Jengibre Sazón,Jengibre Sazón
Lechuga Americana,Unidad,Unidad,200.0,300.0,250.0,250.0,2026-01-16,2026,1,2026-01,Lechuga Americana,Lechuga Americana
Limón mandarina,Unidad,Unidad,80.0,100.0,80.0,85.71,2026-01-16,2026,1,2026-01,Limón Mandarina,Limón Mandarina
Limón mesino,Unidad,Unidad,120.0,150.0,150.0,137.14,2026-01-16,2026,1,2026-01,Limón Mesino,Limón Mesino
Mandarina primera,Unidad,Unidad,180.0,200.0,200.0,193.33,2026-01-16,2026,1,2026-01,Mandarina Primera,Mandarina Primera
Mandarina segunda,Unidad,Unidad,120.0,150.0,150.0,145.71,2026-01-16,2026,1,2026-01,Mandarina Segunda,Mandarina Segunda
Manga grande Cavallini Caja plástica (17,kg),kg),20000.0,22000.0,20000.0,20666.67,2026-01-16,2026,1,2026-01,Manga Grande Cavallini,Manga Grande Cavallini
Manga grande Keitt Caja plástica (17,kg),kg),12000.0,15000.0,12000.0,12750.0,2026-01-16,2026,1,2026-01,Manga Grande Keitt,Manga Grande Keitt
Manga grande Tommy Caja plástica (17,kg),kg),20000.0,23000.0,20000.0,21250.0,2026-01-16,2026,1,2026-01,Manga Grande Tommy,Manga Grande Tommy
Maracuyá,Kilo,Kilo,1000.0,1300.0,1000.0,1125.0,2026-01-16,2026,1,2026-01,Maracuyá,Maracuyá
Melón Cantaloupe,Kilo,Kilo,500.0,600.0,500.0,541.67,2026-01-16,2026,1,2026-01,Melón Cantaloupe,Melón Cantaloupe
Mora congelada,Kilo,Kilo,1600.0,2000.0,1600.0,1720.0,2026-01-16,2026,1,2026-01,Mora Congelada,Mora Congelada
Mora fresca,Kilo,Kilo,1600.0,2000.0,1600.0,1720.0,2026-01-16,2026,1,2026-01,Mora Fresca,Mora Fresca
Naranja dulce,Unidad,Unidad,100.0,120.0,100.0,108.89,2026-01-16,2026,1,2026-01,Naranja Dulce,Naranja Dulce
Naranjilla,Kilo,Kilo,1300.0,1500.0,1500.0,1450.0,2026-01-16,2026,1,2026-01,Naranjilla,Naranjilla
Ñampí,Kilo,Kilo,700.0,1000.0,800.0,811.11,2026-01-16,2026,1,2026-01,Ñampí,Ñampí
Papa amarilla primera Malla (45,kg),kg),28000.0,35000.0,32000.0,30173.08,2026-01-16,2026,1,2026-01,Papa Amarilla Primera,Papa Amarilla
Papa blanca primera Malla (45,kg),kg),30000.0,38000.0,35000.0,32851.85,2026-01-16,2026,1,2026-01,Papa Blanca Primera,Papa Blanca
Papa polilla Malla (45,kg),kg),5000.0,8000.0,7000.0,6357.14,2026-01-16,2026,1,2026-01,Papa Polilla,Papa Polilla
Papa semilla Malla (45,kg),kg),12000.0,15000.0,13000.0,12789.47,2026-01-16,2026,1,2026-01,Papa Semilla,Papa Semilla
Papa semillón Malla (45,kg),kg),12000.0,15000.0,13000.0,12950.0,2026-01-16,2026,1,2026-01,Papa Semillón,Papa Semillón
Papaya híbrida,Kilo,Kilo,400.0,500.0,400.0,433.33,2026-01-16,2026,1,2026-01,Papaya Híbrida,Papaya Híbrida
Pepino,Kilo,Kilo,400.0,500.0,500.0,465.38,2026-01-16,2026,1,2026-01,Pepino,Pepino
Piña - grande,Unidad,Unidad,1100.0,1200.0,1200.0,1183.33,2026-01-16,2026,1,2026-01,Piña Grande,Piña
Piña - mediana,Unidad,Unidad,900.0,1000.0,1000.0,975.0,2026-01-16,2026,1,2026-01,Piña Mediana,Piña
Piña - pequeña,Unidad,Unidad,600.0,800.0,800.0,733.33,2026-01-16,2026,1,2026-01,Piña Pequeña,Piña
Pipa pelada,Unidad,Unidad,280.0,300.0,280.0,288.0,2026-01-16,2026,1,2026-01,Pipa Pelada,Pipa Pelada
Plátano primera (verde y maduro),Unidad,Unidad,220.0,250.0,240.0,233.85,2026-01-16,2026,1,2026-01,Plátano Primera,Plátano Primera
Plátano segunda (verde y maduro),Unidad,Unidad,180.0,200.0,200.0,195.0,2026-01-16,2026,1,2026-01,Plátano Segunda,Plátano Segunda
Remolacha,Unidad,Unidad,250.0,350.0,300.0,283.93,2026-01-16,2026,1,2026-01,Remolacha,Remolacha
Repollo morado,Kilo,Kilo,600.0,800.0,700.0,681.82,2026-01-16,2026,1,2026-01,Repollo Morado,Repollo Morado
Repollo verde,Kilo,Kilo,300.0,400.0,350.0,350.42,2026-01-16,2026,1,2026-01,Repollo Verde,Repollo Verde
Sandía de campo - grande,Kilo,Kilo,400.0,500.0,400.0,428.57,2026-01-16,2026,1,2026-01,Sandía De Campo Grande,Sandía Grande de Campo
Sandía de campo - mediana,Kilo,Kilo,300.0,400.0,350.0,350.0,2026-01-16,2026,1,2026-01,Sandía De Campo Mediana,Sandía Mediana de Campo
Tamarindo,Kilo,Kilo,2000.0,2000.0,2000.0,2000.0,2026-01-16,2026,1,2026-01,Tamarindo,Tamarindo
Tiquisque,Kilo,Kilo,1500.0,1600.0,1600.0,1555.56,2026-01-16,2026,1,2026-01,Tiquisque,Tiquisque
Tomate primera Caja plástica (18,kg),kg),8000.0,9000.0,8000.0,8357.14,2026-01-16,2026,1,2026-01,Tomate Primera,Tomate
Tomate segunda Caja plástica (18,kg),kg),7000.0,8000.0,7000.0,7333.33,2026-01-16,2026,1,2026-01,Tomate Segunda,Tomate
Tomate tercera Caja plástica (18,kg),kg),5000.0,6000.0,5000.0,5357.14,2026-01-16,2026,1,2026-01,Tomate Tercera,Tomate
Vainica,Kilo,Kilo,1300.0,1500.0,1500.0,1425.0,2026-01-16,2026,1,2026-01,Vainica,Vainica
Yuca parafinada,Kilo,Kilo,650.0,700.0,650.0,668.18,2026-01-16,2026,1,2026-01,Yuca Parafinada,Yuca Parafinada
Zanahoria primera Malla (45,kg),kg),10000.0,14000.0,12000.0,11825.0,2026-01-16,2026,1,2026-01,Zanahoria Primera,Zanahoria
Zuquini,Unidad,Unidad,350.0,500.0,500.0,440.91,2026-01-16,2026,1,2026-01,Zuquini,Zuquini
Aguacate Hass de Costa Rica - Super Extra,Kilo,Kilo,1500.0,1600.0,1600.0,1566.67,2026-01-19,2026,1,2026-01,Aguacate Hass De Costa Rica Super Extra,Aguacate Hass De Costa Rica Super Extra
Aguacate Hass de Costa Rica - Supremo,Kilo,Kilo,1800.0,1800.0,1800.0,1800.0,2026-01-19,2026,1,2026-01,Aguacate Hass De Costa Rica Supremo,Aguacate Hass De Costa Rica Supremo
Apio verde (mata),Mata,Mata,1000.0,1500.0,1300.0,1235.71,2026-01-19,2026,1,2026-01,Apio Verde,Apio Verde
Ayote sazón,Kilo,Kilo,300.0,400.0,400.0,355.56,2026-01-19,2026,1,2026-01,Ayote Sazón,Ayote Sazón
Ayote sazón mantequilla,Kilo,Kilo,600.0,700.0,700.0,670.0,2026-01-19,2026,1,2026-01,Ayote Sazón Mantequilla,Ayote Sazón Mantequilla
Ayote tierno,Unidad,Unidad,350.0,400.0,350.0,366.67,2026-01-19,2026,1,2026-01,Ayote Tierno,Ayote Tierno
Banano maduro criollo,Unidad,Unidad,25.0,35.0,30.0,30.0,2026-01-19,2026,1,2026-01,Banano Maduro Criollo,Banano Maduro Criollo
Banano rechazo de exportación (verde y maduro),Caja,Caja,3000.0,3200.0,3000.0,3050.0,2026-01-19,2026,1,2026-01,Banano Rechazo De Exportación,Banano Rechazo De Exportación
Brócoli,Kilo,Kilo,1000.0,1500.0,1300.0,1213.33,2026-01-19,2026,1,2026-01,Brócoli,Brócoli
Camote,Kilo,Kilo,700.0,800.0,800.0,775.0,2026-01-19,2026,1,2026-01,Camote,Camote
Cebolla seca amarilla burra,Kilo,Kilo,700.0,750.0,750.0,737.5,2026-01-19,2026,1,2026-01,Cebolla Seca Amarilla Burra,Cebolla Seca Amarilla Burra
Cebolla seca amarilla suelta,Kilo,Kilo,700.0,750.0,750.0,737.5,2026-01-19,2026,1,2026-01,Cebolla Seca Amarilla Suelta,Cebolla Seca Amarilla Suelta
Cebolla seca amarilla trenza,Kilo,Kilo,700.0,750.0,750.0,737.5,2026-01-19,2026,1,2026-01,Cebolla Seca Amarilla Trenza,Cebolla Seca Amarilla Trenza
Cebolla seca morada,Kilo,Kilo,1800.0,2000.0,2000.0,1927.27,2026-01-19,2026,1,2026-01,Cebolla Seca Morada,Cebolla Seca Morada
Chayote tierno criollo,Java,Java,10000.0,12000.0,12000.0,11142.86,2026-01-19,2026,1,2026-01,Chayote Tierno Criollo,Chayote Tierno Criollo
Chayote tierno quelite,Java,Java,10000.0,12000.0,12000.0,11111.11,2026-01-19,2026,1,2026-01,Chayote Tierno Quelite,Chayote Tierno Quelite
Chile dulce jumbo Caja,plástica,plástica,24000.0,25000.0,24000.0,24428.57,2026-01-19,2026,1,2026-01,Chile Dulce Jumbo,Chile Dulce Jumbo
Chile dulce primera Caja,plástica,plástica,22000.0,23000.0,23000.0,22555.56,2026-01-19,2026,1,2026-01,Chile Dulce Primera,Chile Dulce Primera
Chile dulce segunda Caja,plástica,plástica,20000.0,21000.0,20000.0,20333.33,2026-01-19,2026,1,2026-01,Chile Dulce Segunda,Chile Dulce Segunda
Chile dulce tercera Caja,plástica,plástica,13000.0,14000.0,13000.0,13250.0,2026-01-19,2026,1,2026-01,Chile Dulce Tercera,Chile Dulce Tercera
Coliflor,Unidad,Unidad,700.0,1200.0,1000.0,906.67,2026-01-19,2026,1,2026-01,Coliflor,Coliflor
Culantro castilla Rollo de 10,rollitos,rollitos,700.0,1000.0,1000.0,878.57,2026-01-19,2026,1,2026-01,Culantro Castilla De,Culantro Castilla De
Elote,Unidad,Unidad,150.0,150.0,150.0,150.0,2026-01-19,2026,1,2026-01,Elote,Elote
Fresa (1 Kg) Bandeja (1,kg),kg),2400.0,2500.0,2500.0,2466.67,2026-01-19,2026,1,2026-01,Fresa Bandeja,Fresa Bandeja
Fresa (400 g) Bandeja (400,g),g),1000.0,1300.0,1200.0,1162.5,2026-01-19,2026,1,2026-01,Fresa Bandeja,Fresa Bandeja
Jengibre sazón,Kilo,Kilo,1000.0,1200.0,1000.0,1040.0,2026-01-19,2026,1,2026-01,Jengibre Sazón,Jengibre Sazón
Lechuga Americana,Unidad,Unidad,200.0,250.0,250.0,231.82,2026-01-19,2026,1,2026-01,Lechuga Americana,Lechuga Americana
Limón mandarina,Unidad,Unidad,80.0,100.0,80.0,86.67,2026-01-19,2026,1,2026-01,Limón Mandarina,Limón Mandarina
Limón mesino,Unidad,Unidad,130.0,150.0,150.0,141.43,2026-01-19,2026,1,2026-01,Limón Mesino,Limón Mesino
Mandarina primera,Unidad,Unidad,180.0,220.0,200.0,203.33,2026-01-19,2026,1,2026-01,Mandarina Primera,Mandarina Primera
Mandarina segunda,Unidad,Unidad,100.0,150.0,150.0,128.57,2026-01-19,2026,1,2026-01,Mandarina Segunda,Mandarina Segunda
Manga grande Cavallini Caja plástica (17,kg),kg),20000.0,23000.0,20000.0,20750.0,2026-01-19,2026,1,2026-01,Manga Grande Cavallini,Manga Grande Cavallini
Manga grande Keitt Caja plástica (17,kg),kg),12000.0,16000.0,15000.0,14166.67,2026-01-19,2026,1,2026-01,Manga Grande Keitt,Manga Grande Keitt
Manga grande Tommy Caja plástica (17,kg),kg),20000.0,23000.0,20000.0,21000.0,2026-01-19,2026,1,2026-01,Manga Grande Tommy,Manga Grande Tommy
Maracuyá,Kilo,Kilo,1000.0,1300.0,1200.0,1150.0,2026-01-19,2026,1,2026-01,Maracuyá,Maracuyá
Melón Cantaloupe,Kilo,Kilo,500.0,600.0,500.0,543.75,2026-01-19,2026,1,2026-01,Melón Cantaloupe,Melón Cantaloupe
Mora congelada,Kilo,Kilo,1700.0,2000.0,1800.0,1820.0,2026-01-19,2026,1,2026-01,Mora Congelada,Mora Congelada
Mora fresca,Kilo,Kilo,1700.0,2000.0,1800.0,1820.0,2026-01-19,2026,1,2026-01,Mora Fresca,Mora Fresca
Naranja dulce,Unidad,Unidad,100.0,130.0,120.0,117.78,2026-01-19,2026,1,2026-01,Naranja Dulce,Naranja Dulce
Ñampí,Kilo,Kilo,800.0,1000.0,800.0,850.0,2026-01-19,2026,1,2026-01,Ñampí,Ñampí
Papa amarilla primera Malla (45,kg),kg),30000.0,35000.0,32000.0,31709.68,2026-01-19,2026,1,2026-01,Papa Amarilla Primera,Papa Amarilla
Papa blanca primera Malla (45,kg),kg),33000.0,38000.0,35000.0,34700.0,2026-01-19,2026,1,2026-01,Papa Blanca Primera,Papa Blanca
Papa semilla Malla (45,kg),kg),12000.0,15000.0,13000.0,13071.43,2026-01-19,2026,1,2026-01,Papa Semilla,Papa Semilla
Papa semillón Malla (45,kg),kg),12000.0,15000.0,13000.0,13071.43,2026-01-19,2026,1,2026-01,Papa Semillón,Papa Semillón
Papaya híbrida,Kilo,Kilo,350.0,450.0,400.0,405.0,2026-01-19,2026,1,2026-01,Papaya Híbrida,Papaya Híbrida
Pepino,Kilo,Kilo,300.0,350.0,350.0,328.57,2026-01-19,2026,1,2026-01,Pepino,Pepino
Piña - grande,Unidad,Unidad,1100.0,1200.0,1200.0,1187.5,2026-01-19,2026,1,2026-01,Piña Grande,Piña
Piña - mediana,Unidad,Unidad,900.0,1000.0,1000.0,971.43,2026-01-19,2026,1,2026-01,Piña Mediana,Piña
Piña - pequeña,Unidad,Unidad,700.0,800.0,800.0,777.78,2026-01-19,2026,1,2026-01,Piña Pequeña,Piña
